[Step 50] mean_height=0.017, mean_reward=0.000
[Step 100] mean_height=0.018, mean_reward=0.026
[Step 150] mean_height=0.017, mean_reward=0.000
[Step 200] mean_height=0.017, mean_reward=0.000
[Step 250] mean_height=0.017, mean_reward=0.002
[Step 300] mean_height=0.017, mean_reward=0.000
[Step 350] mean_height=0.017, mean_reward=0.000
[Step 400] mean_height=0.017, mean_reward=0.008
[Step 50] mean_height=0.019, mean_reward=0.016
[Step 100] mean_height=0.017, mean_reward=0.000
[Step 150] mean_height=0.017, mean_reward=0.000
[Step 200] mean_height=0.017, mean_reward=0.014
[Step 250] mean_height=0.017, mean_reward=0.000
[Step 300] mean_height=0.017, mean_reward=0.000
[Step 350] mean_height=0.017, mean_reward=0.000
[Step 400] mean_height=0.017, mean_reward=0.013
[Step 450] mean_height=0.017, mean_reward=0.016
[Step 500] mean_height=0.017, mean_reward=0.005
[Step 550] mean_height=0.017, mean_reward=0.005
[Step 600] mean_height=0.018, mean_reward=0.016
[Step 650] mean_height=0.018, mean_reward=0.043
[Step 700] mean_height=0.019, mean_reward=0.053
[Step 750] mean_height=0.017, mean_reward=0.002
[Step 800] mean_height=0.017, mean_reward=0.016
[Step 850] mean_height=0.018, mean_reward=0.016
[Step 900] mean_height=0.019, mean_reward=0.032
[Step 950] mean_height=0.018, mean_reward=0.012
[Step 1000] mean_height=0.018, mean_reward=0.031
[Step 1050] mean_height=0.018, mean_reward=0.017
[Step 1100] mean_height=0.020, mean_reward=0.031
[Step 1150] mean_height=0.018, mean_reward=0.031
[Step 1200] mean_height=0.018, mean_reward=0.016
[Step 1250] mean_height=0.020, mean_reward=0.047
[Step 1300] mean_height=0.022, mean_reward=0.054
[Step 1350] mean_height=0.019, mean_reward=0.017
[Step 1400] mean_height=0.021, mean_reward=0.047
[Step 1450] mean_height=0.019, mean_reward=0.063
[Step 1500] mean_height=0.018, mean_reward=0.016
[Step 1550] mean_height=0.021, mean_reward=0.073
[Step 1600] mean_height=0.026, mean_reward=0.094
[Step 1650] mean_height=0.026, mean_reward=0.094
[Step 1700] mean_height=0.026, mean_reward=0.111
[Step 1750] mean_height=0.021, mean_reward=0.063
[Step 1800] mean_height=0.020, mean_reward=0.049
[Step 1850] mean_height=0.026, mean_reward=0.094
[Step 1900] mean_height=0.024, mean_reward=0.091
[Step 1950] mean_height=0.023, mean_reward=0.079
[Step 2000] mean_height=0.026, mean_reward=0.095
[Step 2050] mean_height=0.025, mean_reward=0.099
[Step 2100] mean_height=0.020, mean_reward=0.022
[Step 2150] mean_height=0.023, mean_reward=0.078
[Step 2200] mean_height=0.020, mean_reward=0.047
[Step 2250] mean_height=0.025, mean_reward=0.124
[Step 2300] mean_height=0.028, mean_reward=0.129
[Step 2350] mean_height=0.033, mean_reward=0.156
[Step 2400] mean_height=0.030, mean_reward=0.146
[Step 2450] mean_height=0.026, mean_reward=0.109
[Step 2500] mean_height=0.031, mean_reward=0.125
[Step 2550] mean_height=0.025, mean_reward=0.078
[Step 2600] mean_height=0.031, mean_reward=0.126
[Step 2650] mean_height=0.033, mean_reward=0.161
[Step 2700] mean_height=0.026, mean_reward=0.078
[Step 2750] mean_height=0.028, mean_reward=0.078
[Step 2800] mean_height=0.038, mean_reward=0.156
[Step 2850] mean_height=0.029, mean_reward=0.116
[Step 2900] mean_height=0.028, mean_reward=0.109
[Step 2950] mean_height=0.024, mean_reward=0.109
[Step 3000] mean_height=0.035, mean_reward=0.125
[Step 3050] mean_height=0.032, mean_reward=0.156
[Step 3100] mean_height=0.039, mean_reward=0.186
[Step 3150] mean_height=0.043, mean_reward=0.203
[Step 3200] mean_height=0.040, mean_reward=0.174
[Step 3250] mean_height=0.042, mean_reward=0.219
[Step 3300] mean_height=0.025, mean_reward=0.094
[Step 3350] mean_height=0.033, mean_reward=0.125
[Step 3400] mean_height=0.030, mean_reward=0.125
[Step 3450] mean_height=0.027, mean_reward=0.125
[Step 3500] mean_height=0.040, mean_reward=0.156
[Step 3550] mean_height=0.033, mean_reward=0.143
[Step 3600] mean_height=0.037, mean_reward=0.141
[Step 3650] mean_height=0.030, mean_reward=0.078
[Step 3700] mean_height=0.042, mean_reward=0.172
[Step 3750] mean_height=0.029, mean_reward=0.126
[Step 3800] mean_height=0.032, mean_reward=0.143
[Step 3850] mean_height=0.023, mean_reward=0.065
[Step 3900] mean_height=0.042, mean_reward=0.191
[Step 3950] mean_height=0.034, mean_reward=0.172
[Step 4000] mean_height=0.033, mean_reward=0.172
[Step 4050] mean_height=0.046, mean_reward=0.234
[Step 4100] mean_height=0.034, mean_reward=0.188
[Step 4150] mean_height=0.040, mean_reward=0.141
[Step 4200] mean_height=0.044, mean_reward=0.195
[Step 4250] mean_height=0.044, mean_reward=0.203
[Step 4300] mean_height=0.031, mean_reward=0.141
[Step 4350] mean_height=0.040, mean_reward=0.219
[Step 4400] mean_height=0.036, mean_reward=0.141
[Step 4450] mean_height=0.030, mean_reward=0.125
[Step 4500] mean_height=0.040, mean_reward=0.172
[Step 4550] mean_height=0.030, mean_reward=0.125
[Step 4600] mean_height=0.051, mean_reward=0.272
[Step 4650] mean_height=0.034, mean_reward=0.156
[Step 4700] mean_height=0.044, mean_reward=0.175
[Step 4750] mean_height=0.047, mean_reward=0.225
[Step 4800] mean_height=0.040, mean_reward=0.246
[Step 4850] mean_height=0.037, mean_reward=0.172
[Step 4900] mean_height=0.054, mean_reward=0.219
[Step 4950] mean_height=0.055, mean_reward=0.203
[Step 5000] mean_height=0.040, mean_reward=0.148
[Step 5050] mean_height=0.043, mean_reward=0.216
[Step 5100] mean_height=0.037, mean_reward=0.149
[Step 5150] mean_height=0.039, mean_reward=0.214
[Step 5200] mean_height=0.032, mean_reward=0.109
[Step 5250] mean_height=0.050, mean_reward=0.219
[Step 5300] mean_height=0.035, mean_reward=0.143
[Step 5350] mean_height=0.046, mean_reward=0.211
[Step 5400] mean_height=0.044, mean_reward=0.188
[Step 5450] mean_height=0.031, mean_reward=0.141
[Step 5500] mean_height=0.040, mean_reward=0.163
[Step 5550] mean_height=0.035, mean_reward=0.141
[Step 5600] mean_height=0.052, mean_reward=0.219
[Step 5650] mean_height=0.040, mean_reward=0.172
[Step 5700] mean_height=0.039, mean_reward=0.219
[Step 5750] mean_height=0.038, mean_reward=0.191
[Step 5800] mean_height=0.052, mean_reward=0.269
[Step 5850] mean_height=0.030, mean_reward=0.141
[Step 5900] mean_height=0.039, mean_reward=0.203
[Step 5950] mean_height=0.041, mean_reward=0.219
[Step 6000] mean_height=0.032, mean_reward=0.144
[Step 6050] mean_height=0.036, mean_reward=0.156
[Step 6100] mean_height=0.030, mean_reward=0.111
[Step 6150] mean_height=0.038, mean_reward=0.172
[Step 6200] mean_height=0.045, mean_reward=0.266
[Step 6250] mean_height=0.036, mean_reward=0.203
[Step 6300] mean_height=0.032, mean_reward=0.134
