Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.24164402938151E-18,0,-0.004,0,0,0,1.67684077148422,0.0279783849570223,2.13636577824663E-34,-1.37288964807816E-36,0.0279783849570223,-3.34803611209534E-36,0.0559388836124821,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/base_link.STL,,floor-1,base coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
M0_chassis_link,0.00136577570445679,0.00457614464386958,0.050865910554472,0,0,0,0.562993295418594,0.00571122448428108,-9.86810579767184E-05,-7.73193820500621E-05,0.00446519695859846,4.01631006535942E-05,0.00995139177692554,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M0_chassis_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M0_chassis_link.STL,,复件 R50_COVER_0715_ASM^00_r50_arm_2_7_asm_0905-1/TOP_FRAME_R50^复件 R50_COVER_0715_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_COVER_0715_ASM^00_r50_arm_2_7_asm_0905-1/BOTTOM_FRAME_R50^复件 R50_COVER_0715_ASM_00_r50_arm_2_7_asm_0905-1,M0 coord,M0 axis,M0,continuous,0,0,0,0,0,0,base_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
M1_waist_link,-0.000668865369367741,-0.000622305190232215,0.0130167406772163,0,0,0,0.00497400390264145,5.845779447197E-07,-8.84533844390089E-09,-4.78809964639897E-09,3.1638362617472E-07,-2.27222918559143E-09,6.05508997506684E-07,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M1_waist_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M1_waist_link.STL,,复件 R50_A1_SPIRAL_2_7_ASM^00_r50_arm_2_7_asm_0905-1/R50_071_M2COVER_2_6^复件 R50_A1_SPIRAL_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A1_SPIRAL_2_7_ASM^00_r50_arm_2_7_asm_0905-1/R50_03_MAINSHAFT_2_7^复件 R50_A1_SPIRAL_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A1_SPIRAL_2_7_ASM^00_r50_arm_2_7_asm_0905-1/R50_071_M2COVER_L_2_6^复件 R50_A1_SPIRAL_2_7_ASM_00_r50_arm_2_7_asm_0905-1,M1 coord,M1 axis,M1,revolute,0.0475,0.002,0.015,0,0,-1.5708,M0_chassis_link,0,0,1,0,0,0,1.57,,,,,,,,
M2_Aarm_link,0.0601508529134251,0.00123665391424775,0.00188438794798542,0,0,0,0.0335589548894408,3.81265450953842E-06,1.26283511463203E-06,-7.89506323755863E-07,2.09105856881561E-05,2.9593626101945E-07,1.82970866819242E-05,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M2_Aarm_link.STL,1,0.447058823529412,0,1,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M2_Aarm_link.STL,,复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50_13_A2_SHEET_LEFT_2_7^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50_A2_LEFT_COVR_2_6^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50_A2_PCBA_COVER_2_7^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50_12_A2_SHEET_RIGHT_2_7^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50_A2_RIGHT_COVR_2_6^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 S26_GPX_GEARBOX_RING^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 S26_GPX_PLANET_CARRIER_OUTPUT^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50-MOTOR_COVER_BOTT_2_7^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50-MOTOR_COVER_TOP_2_7^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/R50_14_M2SHAFT_2_6^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/6_9_PLAIN_WASHERS^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/MF115-P-ZZ^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/MF115-P-ZZ^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-2;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/MF115-P-ZZ^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-3;复件 R50_A2_A_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/R50_F618_6_COVER_2_4^复件 R50_A2_A_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1,M2 coord,M2 axis,M2,revolute,0,-0.000300000000000002,0.0248,0,0,0,M1_waist_link,0,-1,0,0,0,0,1.57,,,,,,,,
M3_Barm_link,-0.0873350487257374,0.00602631355894911,0.00831812874509527,0,0,0,0.0169313899121356,1.62078716548508E-06,5.54136544325576E-09,1.35955447205471E-06,5.08397363816854E-05,3.05696282513903E-08,5.20715378455312E-05,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M3_Barm_link.STL,0.631372549019608,0.686274509803922,0.749019607843137,1,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M3_Barm_link.STL,,复件 R50_A3_B_ARM_2_8_ASM^00_r50_arm_2_7_asm_0905-1/R50_20_A3_MAIN_LINK_2_8^复件 R50_A3_B_ARM_2_8_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A3_B_ARM_2_8_ASM^00_r50_arm_2_7_asm_0905-1/R50_A3_PVC_SW_2_8^复件 R50_A3_B_ARM_2_8_ASM_00_r50_arm_2_7_asm_0905-1,M3 coord,M3 axis,M3,revolute,0.09035,-0.0084,0.00639,0,0,0,M2_Aarm_link,0,1,0,0,0,0,4.7116,,,,,,,,
M4_Carm_link,0.0404507901463028,0.00869643107529672,0.00532119347306536,0,0,0,0.0414242498680461,3.96135602317047E-06,-1.82754946388271E-06,-1.31594507533417E-06,3.86803433863594E-05,-1.97013084572357E-07,3.73675727833538E-05,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M4_Carm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M4_Carm_link.STL,,复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 复件 R50_113_A4_TOP_ABS_2_67^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 复件 R50_24_A4_TOP_STEEL_2_7^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 复件 R50_115_A4_BOT-PLASTIC_2_7^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 复件 R50_23_A4_BOTT_STEEL_2_7^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50_114_A4_PCBA_COVER_2_7^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 S26_GPX_GEARBOX_RING^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 S26_GPX_PLANET_CARRIER_OUTPUT^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50-MOTOR_COVER_BOTT_2_7^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50-MOTOR_COVER_TOP_2_7^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50_A4_COVER_D^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 R50_A4_C_ARM_2_7_ASM^00_r50_arm_2_7_asm_0905-1/MF115-P-ZZ^复件 R50_A4_C_ARM_2_7_ASM_00_r50_arm_2_7_asm_0905-1,M4 coord,"M4 axis ",M4,revolute,-0.17735,0,0.01428,0,0,0,M3_Barm_link,0,-1,0,0,0,0,3.1416,,,,,,,,
M5_wrist_link,0.0315265657461829,0.00193576384099629,-0.00200191219166715,0,0,0,0.00872729923914655,7.96067753682824E-07,-1.02128789144519E-07,-3.50715522753616E-08,4.19286631749308E-06,8.90328348932758E-09,4.79555749529131E-06,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M5_wrist_link.STL,0.631372549019608,0.686274509803922,0.749019607843137,1,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M5_wrist_link.STL,,复件 A5_CLAW_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 复件 R50_27_CLBOTTOM_2_7^复件 A5_CLAW_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 A5_CLAW_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50_122_A5_COVER_2_7^复件 A5_CLAW_2_7_ASM_00_r50_arm_2_7_asm_0905-1,M5 coord,M5 axis,M5,revolute,0.10124419863928,0.00720000000000399,0.0085050660083681,0,-3.49065850770887E-05,0,M4_Carm_link,1,0,0,0,0,0,4.1866,,,,,,,,
M6_1_leftfinger_link,0.013982,0.00051741,0.0015711,0,0,0,0.0014426,1.4899E-08,1.1217E-08,-6.9674E-09,1.8611E-07,2.4355E-10,1.962E-07,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M6_1_leftfinger_link.STL,1,1,0,1,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M6_1_leftfinger_link.STL,,复件 A5_CLAW_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 复件 R50_29_FGL_STP_2_7^复件 A5_CLAW_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 A5_CLAW_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50_33_CLWORMWHEEL_2_7^复件 A5_CLAW_2_7_ASM_00_r50_arm_2_7_asm_0905-1,M6_1 leftfinger coord,M6_1_1 axis,M6_1,revolute,0.0605,0.010481,0.0041935,0,-4.3588E-05,-0.067803,M5_wrist_link,0,0.00063951,1,0,0,0,1.05,,,,,,,,
M6_1_1_LINK,-0.00764458572106805,0.000589340705618953,0.00064972552314535,0,0,0,8.71079009688527E-05,1.24189663706984E-10,1.31251874982644E-10,-5.36166964307191E-14,1.60719468407998E-09,5.76573046208739E-15,1.55996325740076E-09,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M6_1_1_LINK.STL,0,1,0,1,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M6_1_1_LINK.STL,,复件 A5_CLAW_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 复件 (2) R50_A5_FG_RUBBER_2_7^复件 A5_CLAW_2_7_ASM_00_r50_arm_2_7_asm_0905-1,M6_1_1 coord,M6_1_1 axis,M6_1_1,fixed,0.043017,-0.0046936,0.0022627,-0.00063804,7.8234E-05,0.067803,M6_1_leftfinger_link,0,0,0,,,,,,,,,,,,
M6_2_rightfinger_link,0.0143565123042391,0.000729830683731197,0.00156306392377183,0,0,0,0.00141318592696523,1.75562373535465E-08,-2.39465037947659E-08,-6.5921961397348E-09,1.6887774999712E-07,-7.77287835987433E-10,1.81649658712025E-07,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M6_2_rightfinger_link.STL,0.631372549019608,0.686274509803922,0.749019607843137,1,0,0,0,0,0,0,package://00_r50_arm_2_7_asm_090519.SLDASM/meshes/M6_2_rightfinger_link.STL,,复件 A5_CLAW_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 复件 R50_28_FGR_STP_2_7^复件 A5_CLAW_2_7_ASM_00_r50_arm_2_7_asm_0905-1;复件 A5_CLAW_2_7_ASM^00_r50_arm_2_7_asm_0905-1/复件 R50_33_CLWORMWHEEL_R_2_7^复件 A5_CLAW_2_7_ASM_00_r50_arm_2_7_asm_0905-1,M6_2 rightfinger coord,M6_2 rightfinger axis,M6_2_rightfinger,revolute,0.0605,-0.0056192,0.0042038,0,-1.1228E-05,-0.017453,M5_wrist_link,-4.6129E-05,0,-1,0,0,0,1.05,,,,,,,,
